In District-Not Weather,District Match,In Weather-Not District,Weather Match
SPRINGFIELD,TERRE HAUTE,ABERDEEN,BALTIMORE
PHOENIX,TUCSON,AUGUSTA,SAVANNAH
LAS VEGAS,PEORIA,BANGOR,BUFFALO
SPOKANE,YAKIMA,BAY CITY,GRAND RAPIDS
ORLANDO,TAMPA,BEAUMONT,TYLER
PITTSBURGH,HARRISBURG,BENTON,SCRANTON
DETROIT,TOLEDO,BILLINGS,MISSOULA
NORFOLK,TEXARKANA,CASPER,CHEYENNE
CHEYENNE,CASPER,DAVENPORT,EAST ST. LOUIS
OMAHA,LINCOLN,ERIE,CLEVELAND
DES MOINES,SIOUX CITY,EUGENE,PORTLAND
OXFORD,GULFPORT,FARGO,BISMARCK
PORTLAND,EUGENE,GREENBELT,BALTIMORE
MISSOULA,BILLINGS,GULFPORT,JACKSON
SAVANNAH,AUGUSTA,HARRISBURG,PITTSBURG
EAST ST. LOUIS,DAVENPORT,LINCOLN,OMAHA
JACKSON,GULFPORT,MARQUETTE,GRAND RAPIDS
SCRANTON,BENTON,OAKLAND,SAN FRANCISCO
GRAND RAPIDS,BAY CITY,PEORIA,PHOENIX
BISMARCK,FARGO,PIERRE,SIOUX FALLS
TYLER,BEAUMONT,RENO,LAS VEGAS
COLUMBIA,SAVANNAH,RICHMOND,NORFOLK
FORT SMITH,TEXARKANA,ROCHESTER,BUFFALO
HAMMOND,SOUTH BEND,SIOUX CITY,SIOUX FALLS
SIOUX FALLS,SIOUX CITY,SOUTH BEND,HAMMOND
INDIANAPOLIS,TERRE HAUTE,TAMPA,ORLANDO
CEDAR RAPIDS,DAVENPORT,TERRE HAUTE,SPRINGFIELD
"WASHINGTON, D.C.",WASHINGTON,TEXARKANA,NORFOLK
CLEVELAND,TOLEDO,TOLEDO,DETROIT
NEW YORK,BROOKLYN,TOPEKA,EAST ST. LOUIS
BUFFALO,ROCHESTER,TRENTON,NEWARK
NEWARK,TRENTON,TUCSON,PHOENIX
ST. THOMAS,TAMPA,WASHINGTON,"WASHINGTON, D.C."
SAN FRANCISCO,OAKLAND,WHITE PLAINS,NEW YORK
BALTIMORE,GREENBELT,YAKIMA,SPOKANE
AGANA,TAMPA,,
